"","state_abv","state","city","total_liabilities","revenues","lib_rev_ratio","population","lat","long"
"1","NY","New York","New York",305300557000,95921699000,318.28,8804190,40.6627117,-73.9386769
"2","CA","California","Los Angeles",50943508000,17463553000,291.71,3898747,34.0193936,-118.4108248
"3","IL","Illinois","Chicago",69251891000,11215375000,617.47,2746388,41.8370453,-87.6849386
"4","TX","Texas","Houston",25651079000,5507561000,465.74,2304580,29.7857435,-95.3888059
"5","AZ","Arizona","Phoenix",13930794000,4219483000,330.15,1608139,33.5721544,-112.0901324
"6","PA","Pennsylvania","Philadelphia",19141711000,8677695000,220.59,1603797,40.0093755,-75.1333459
"7","TX","Texas","San Antonio",6535995000,2570306000,254.29,1434625,29.4634081,-98.5242867
"8","CA","California","San Diego",7466528000,3435873000,217.31,1386932,32.814977,-117.1355615
"9","TX","Texas","Dallas",12969622000,3181977000,407.6,1304379,32.7933334,-96.7665128
"10","CA","California","San Jose",7622101000,2880708000,264.59,1013240,37.2960112,-121.8145519
"11","TX","Texas","Austin",15202009000,4246064000,358.03,961855,30.3011573,-97.7526951
"12","FL","Florida","Jacksonville",6319925000,2123471000,297.62,949611,30.3368643,-81.6616028
"13","TX","Texas","Fort Worth",6248476000,2590058000,241.25,918915,32.7815183,-97.346746
"14","OH","Ohio","Columbus",7128521000,2468026000,288.83,905748,32.51,-84.87
"15","IN","Indiana","Indianapolis",2742963000,1256985000,218.22,887642,39.7766644,-86.1459355
"16","NC","North Carolina","Charlotte",6759442000,2284998000,295.82,874579,35.2090447,-80.8309902
"17","CA","California","San Francisco",34557584000,12519966000,276.02,873965,37.7272391,-123.0322294
"18","WA","Washington","Seattle",9163846000,4581734000,200.01,737015,47.6193387,-122.3515649
"19","CO","Colorado","Denver",11288224000,3707605000,304.46,715522,39.7618502,-104.8811054
"20","DC","District of Columbia","Washington",17091665000,16397733000,104.23,689545,38.9042474,-77.0165167
"21","OK","Oklahoma","Oklahoma",2204253000,1077290000,204.61,681054,35.4670795,-97.5136565
"22","TX","Texas","El Paso",2782722728,933071876,298.23,678815,31.8477804,-106.4311055
"23","MA","Massachusetts","Boston",6518670000,4259188000,153.05,675647,42.3385513,-71.018253
"24","OR","Oregon","Portland",9174347541,2330517610,393.66,652503,45.5369506,-122.649971
"25","NV","Nevada","Las Vegas",1814290240,1224995479,148.11,641903,36.2334989,-115.2640367
"26","MI","Michigan","Detroit",5377049394,2155139212,249.5,639111,42.3830375,-83.1022365
"27","TN","Tennessee","Memphis",4403060000,2869453000,153.45,633104,35.1090259,-89.967455
"28","MD","Maryland","Baltimore",9195780000,3193101000,287.99,585708,39.3000324,-76.6104761
"29","WI","Wisconsin","Milwaukee",4631245000,1288626000,359.39,577222,43.0633484,-87.9666952
"30","NM","New Mexico","Albuquerque",2308654159,1120158995,206.1,564559,35.1047797,-106.6468093
"31","AZ","Arizona","Tucson",2732347205,1303599945,209.6,542629,32.1530357,-110.8707734
"32","CA","California","Fresno",1541934000,873186000,176.59,542107,36.7826843,-119.7933595
"33","CA","California","Sacramento",3150700000,1344723000,234.3,524943,38.5676936,-121.4681605
"34","MO","Missouri","Kansas",5330276000,1917677000,277.95,508090,39.1223613,-94.5551167
"35","AZ","Arizona","Mesa",3946213000,1110314000,355.41,504258,33.4006255,-111.7164869
"36","GA","Georgia","Atlanta",10846929000,2620248000,413.97,498715,33.7629088,-84.4226745
"37","NE","Nebraska","Omaha",3055956416,945243629,323.3,486051,41.2627048,-96.0534745
"38","CO","Colorado","Colorado Springs",3956973674,1409978178,280.64,478961,38.8672553,-104.760749
"39","NC","North Carolina","Raleigh",2241239412,973529224,230.22,467665,35.8302035,-78.641493
"40","CA","California","Long Beach",5018598000,1908857000,262.91,466742,33.7807912,-118.1681803
"41","VA","Virginia","Virginia Beach",2174515595,1632118091,133.23,459470,36.7795254,-76.0291418
"42","FL","Florida","Miami",2854317892,1024569536,278.59,442241,25.775163,-80.2086152
"43","CA","California","Oakland",3808291000,1318041000,288.94,440646,37.7698464,-122.22569
"44","MN","Minnesota","Minneapolis",1730749000,1147425000,150.84,429954,44.9633242,-93.2683198
"45","OK","Oklahoma","Tulsa",1315222000,679703000,193.5,413066,36.1279488,-95.9023162
"46","CA","California","Bakersfield",815271946,595392599,136.93,403455,35.3535928,-119.0369206
"47","KS","Kansas","Wichita",1466116636,672981776,217.85,397532,37.6906377,-97.3458362
"48","TX","Texas","Arlington",2015112000,988707000,203.81,394266,32.7007082,-97.1246912
"49","CO","Colorado","Aurora",1061881120,1158643331,91.65,386261,39.6880021,-104.68974
"50","FL","Florida","Tampa",1547995667,992365061,155.99,384959,27.9678756,-82.4745861
"51","OH","Ohio","Cleveland",4080064000,1566228000,260.5,372624,41.4784623,-81.6794351
"52","CA","California","Anaheim",3138253000,1248256000,251.41,346824,33.8555018,-117.7586572
"53","KY","Kentucky","Lexington",1657659630,612169719,270.78,322570,38.0406777,-84.4582721
"54","CA","California","Stockton",1157881712,547984345,211.3,320804,37.9763417,-121.3133043
"55","TX","Texas","Corpus Christi",1928720995,667414021,288.98,317863,27.7542524,-97.1733853
"56","NV","Nevada","Henderson",1048710549,586622261,178.77,317610,36.010155,-115.0357508
"57","CA","California","Riverside",2997462000,933925000,320.95,314998,33.9381433,-117.3931676
"58","CA","California","Santa Ana",1014020583,529268827,191.59,310227,33.7363317,-117.8828997
"59","OH","Ohio","Cincinnati",3389782000,1101279000,307.8,309317,39.140183,-84.5058289
"60","CA","California","Irvine",247393000,380188000,65.07,307670,33.6783986,-117.7712541
"61","FL","Florida","Orlando",2034575660,1079325407,188.5,307573,28.4086497,-81.2548051
"62","PA","Pennsylvania","Pittsburgh",1836357586,607218809,302.42,302971,40.4397753,-79.9763331
"63","MO","Missouri","St. Louis",3262271000,1137784000,286.72,301578,38.6356988,-90.2445816
"64","NC","North Carolina","Greensboro",1170826645,613360174,190.89,299035,36.0951477,-79.8269963
"65","NJ","New Jersey","Jersey",1091412205,1049105487,104.03,292449,40.7114174,-74.0647599
"66","AK","Alaska","Anchorage",2088430610,1354654207,154.17,291247,61.1742503,-149.2843294
"67","NE","Nebraska","Lincoln",1682625102,878865771,191.45,291082,40.8089549,-96.6789437
"68","TX","Texas","Plano",747692669,649535368,115.11,285494,33.0507687,-96.747944
"69","NC","North Carolina","Durham",1029720774,556945244,184.89,283506,35.9800505,-78.9009765
"70","AZ","Arizona","Chandler",993301804,577349614,172.05,275987,33.2827655,-111.8518187
"71","CA","California","Chula Vista",596108688,390392795,152.69,275487,32.6276701,-117.0151696
"72","OH","Ohio","Toledo",1732226000,561603000,308.44,270871,41.664071,-83.5818608
"73","AZ","Arizona","Gilbert",648695650,445353665,145.66,267918,33.3102245,-111.7432243
"74","NV","Nevada","Reno",1064576354,478643006,222.42,264165,39.549097,-119.8499069
"75","IN","Indiana","Fort Wayne",1390532275,573922167,242.29,263886,41.0891325,-85.1438998
"76","NV","Nevada","North Las Vegas",756950708,492604694,153.66,262527,36.2819605,-115.0875058
"77","FL","Florida","St. Petersburg",1355292248,662235246,204.65,258308,27.7627269,-82.6441305
"78","TX","Texas","Lubbock",1869606346,749999064,249.28,257141,33.5655414,-101.8889456
"79","TX","Texas","Irving",1041752554,465446366,223.82,256684,32.8577478,-96.9700224
"80","TX","Texas","Laredo",1409404951,526385016,267.75,255205,27.5603788,-99.4891811
"81","NC","North Carolina","Winston-Salem",1083821870,452557098,239.49,249545,36.1028627,-80.2608286
"82","VA","Virginia","Chesapeake",1137616969,855449210,132.98,249422,36.6793761,-76.3017884
"83","AZ","Arizona","Glendale",1364207000,552856000,246.76,248325,33.533111,-112.1899006
"84","TX","Texas","Garland",1457720709,726223208,200.73,246018,32.9098262,-96.6303341
"85","AZ","Arizona","Scottsdale",1672194000,802015000,208.5,241361,33.6842718,-111.8614483
"86","VA","Virginia","Norfolk",2126539198,936078688,227.18,238005,36.9230149,-76.2446413
"87","ID","Idaho","Boise",224761000,479054000,46.92,235684,43.6002334,-116.2298
"88","CA","California","Fremont",675792497,389180841,173.64,230504,37.4944602,-121.9411495
"89","WA","Washington","Spokane",886969987,584541313,151.74,228989,47.6669347,-117.433322
"90","CA","California","Santa Clarita",217263369,255859577,84.92,228673,34.4140833,-118.4947294
"91","VA","Virginia","Richmond",2594525942,1190816721,217.88,226610,37.531399,-77.4760085
"92","FL","Florida","Hialeah",1038077167,330547538,314.05,223109,25.8699408,-80.302865
"93","CA","California","San Bernardino",700249533,260211842,269.11,222101,34.1411402,-117.2946349
"94","CA","California","Modesto",910981832,434550143,209.64,218464,37.6375332,-121.0030494
"95","AL","Alabama","Huntsville",1335234757,444428253,300.44,215006,34.7822752,-86.5325989
"96","IA","Iowa","Des Moines",866817685,508221864,170.56,214133,41.5725898,-93.6102428
"97","NY","New York","Yonkers",4915299122,1249122727,393.5,211569,40.9458622,-73.8674464
"98","CA","California","Moreno Valley",221955207,214352086,103.55,208634,33.9232527,-117.2056845
"99","NC","North Carolina","Fayetteville",237274660,229636558,103.33,208501,35.0827658,-78.9735152
"100","CA","California","Fontana",346535100,268182993,129.22,208393,34.1,-117.46
