...1,state_abv,state,city,total_liabilities,revenues,lib_rev_ratio,population,rank_lib_rev_ratio,rank_population,rank_total_liabilities,rank_revenues
1,NY,New York,New York,305300557000,95921699000,318.28,8804190,13,1,1,1
2,CA,California,Los Angeles,50943508000,17463553000,291.71,3898747,23,2,3,2
3,IL,Illinois,Chicago,69251891000,11215375000,617.47,2746388,1,3,2,5
4,TX,Texas,Houston,25651079000,5507561000,465.74,2304580,2,4,5,7
5,AZ,Arizona,Phoenix,13930794000,4219483000,330.15,1608139,10,5,9,11
6,PA,Pennsylvania,Philadelphia,19141711000,8677695000,220.59,1603797,52,6,6,6
7,TX,Texas,San Antonio,6535995000,2570306000,254.29,1434625,39,7,20,20
8,CA,California,San Diego,7466528000,3435873000,217.31,1386932,56,8,17,13
9,TX,Texas,Dallas,12969622000,3181977000,407.6,1304379,4,9,10,15
10,CA,California,San Jose,7622101000,2880708000,264.59,1013240,36,10,16,16
11,TX,Texas,Austin,15202009000,4246064000,358.03,961855,8,11,8,10
12,FL,Florida,Jacksonville,6319925000,2123471000,297.62,949611,21,12,22,25
13,TX,Texas,Fort Worth,6248476000,2590058000,241.25,918915,45,13,23,19
14,OH,Ohio,Columbus,7128521000,2468026000,288.83,905748,26,14,18,21
15,IN,Indiana,Indianapolis,2742963000,1256985000,218.22,887642,53,15,42,36
16,NC,North Carolina,Charlotte,6759442000,2284998000,295.82,874579,22,16,19,23
17,CA,California,San Francisco,34557584000,12519966000,276.02,873965,32,17,4,4
18,WA,Washington,Seattle,9163846000,4581734000,200.01,737015,66,18,15,8
19,CO,Colorado,Denver,11288224000,3707605000,304.46,715522,17,19,11,12
20,DC,District of Columbia,Washington,17091665000,16397733000,104.23,689545,93,20,7,3
21,OK,Oklahoma,Oklahoma,2204253000,1077290000,204.61,681054,63,21,47,48
22,TX,Texas,El Paso,2782722728,933071876,298.23,678815,20,22,41,57
23,MA,Massachusetts,Boston,6518670000,4259188000,153.05,675647,82,23,21,9
24,OR,Oregon,Portland,9174347541,2330517610,393.66,652503,5,24,14,22
