...1,FIPS,state,name,population,total_liabilities,revenue,lib_rev_ratio,percapita,state_abv,rank_lib_rev_ratio,rank_population,rank_total_liabilities,rank_revenue
1,06037,California,Los Angeles County,10014009,52768946000,29454082000,179.156647964788,5269.51253988288,CA,165,1,1,1
2,17031,Illinois,Cook County,5275541,21176754633,6061200953,349.382157054511,4014.13895427976,IL,11,2,4,6
3,48201,Texas,Harris County,4731145,8947139580,4137326161,216.254151397081,1891.11506411239,TX,90,3,12,15
4,04013,Arizona,Maricopa County,4420568,2834203888,2499817863,113.376415536079,641.140208226635,AZ,569,4,38,29
5,06073,California,San Diego County,3298634,6570540000,5306058000,123.830911761613,1991.89725201402,CA,482,5,21,8
6,06059,California,Orange County,3186989,7044193000,4801992000,146.693143178914,2210.29724294624,CA,305,6,19,14
7,12086,Florida,Miami-Dade County,2701767,27654208000,9453906000,292.516214990925,10235.6006272932,FL,29,7,3,3
8,48113,Texas,Dallas County,2613539,942867000,1062432000,88.7461032800217,360.762552232815,TX,839,8,108,69
9,06065,California,Riverside County,2418185,8461146000,5091044000,166.196677930892,3498.9655464739,CA,213,9,14,10
10,53033,Washington,King County,2269675,7102405000,5016201000,141.589322277955,3129.26079725071,WA,343,10,18,12
11,32003,Nevada,Clark County,2265461,11263235204,5146232160,218.863721142343,4971.71887046389,NV,85,11,9,9
12,06071,California,San Bernardino County,2181654,4697075000,5011731000,93.7216103577786,2152.98805401773,CA,771,12,24,13
13,48439,Texas,Tarrant County,2110640,908700000,816457000,111.297961803255,430.532918925065,TX,581,13,112,90
14,48029,Texas,Bexar County,2009324,3027051150,869968776,347.949401577144,1506.50226145709,TX,12,14,34,84
15,12011,Florida,Broward County,1944375,7728588000,3660292000,211.146760968797,3974.8443587271,FL,94,15,16,18
16,06085,California,Santa Clara County,1936259,10454942000,7052128000,148.252300582179,5399.55760050696,CA,294,16,10,5
17,26163,Michigan,Wayne County,1793561,1812948420,1084737794,167.13241024955,1010.80945671767,MI,202,17,65,67
18,06001,California,Alameda County,1682353,4327169000,3470053000,124.700372011609,2572.09337160513,CA,476,18,25,20
2301,42101,Pennsylvania,Philadelphia County,1603797,19141711000,8677695000,220.59,11935.245545415,PA,82,19,5,4
19,06067,California,Sacramento County,1585055,67797303,109469081,61.9328328882198,42.7728394282848,CA,1158,20,671,504
20,36103,New York,Suffolk County,1525920,12322349989,3589705708,343.269086419493,8075.35780971479,NY,13,21,7,19
21,12099,Florida,Palm Beach County,1492191,4197746860,2731751287,153.665045568989,2813.14312980041,FL,267,22,26,25
22,12057,Florida,Hillsborough County,1459762,3229923000,2543904000,126.967173289558,2212.6367174923,FL,456,23,31,28
23,12095,Florida,Orange County,1429908,3034626323,2730260273,111.147876743105,2122.25284633697,FL,583,24,33,26
24,36059,New York,Nassau County,1395774,14455591000,3431196000,421.298899858825,10356.6845348889,NY,2,25,6,21
25,39049,Ohio,Franklin County,1323807,1539152000,1407426000,109.359355305359,1162.67099358139,OH,603,26,70,50
26,48453,Texas,Travis County,1290188,2724331272,990562635,275.028673174211,2111.57697327831,TX,36,27,43,74
27,27053,Minnesota,Hennepin County,1281565,3494379106,3366383989,103.802154401228,2726.64992099503,MN,651,28,29,22
28,26125,Michigan,Oakland County,1274395,741376009,970737618,76.3724404260184,581.747424464157,MI,983,29,137,77
29,39035,Ohio,Cuyahoga County,1264817,2415923380,1522380010,158.69384543482,1910.09717611322,OH,241,30,50,47
