"","state","district","id","total_liabilities","revenues","lib_rev_ratio","lat","lon"
"1","CA","Los Angeles Unified School District",146329,29653109000,9124800000,324.972700771524,34.056482,-118.2576145
"2","IL","Chicago Board of Education",198265,27536280000,6953478000,396.007293040979,41.881832,-87.623177
"3","FL","The School Board of Miami-Dade County",32380,6325737000,4120010000,153.536933162784,25.7890489,-80.1910248
"4","NV","Clark County School District",35528,7278369954,3748080450,194.189267042013,36.1452783,-115.2111637
"5","FL","The School Board of Broward County",93794,4251168000,3041050000,139.792768944937,26.114715,-80.140143
"6","FL","The School District of Hillsborough County",32396,2502458869,2451375686,102.08385778205,27.949404,-82.452712
"7","TX","Houston Independent School District",38988,4918438580,2881150552,170.710918823238,29.8025303,-95.4542532
"8","FL","Orange County District School Board",102323,2680621894,2676919286,100.138316011968,28.54956,-81.385152
"9","FL","The School District of Palm Beach County",32416,3401701000,2551761000,133.307978294205,26.651041,-80.092632
"10","VA","Fairfax County Public Schools",88704,4569398476,3287156083,139.007651618105,38.869616,-77.221998
"11","GA","Gwinnett County Board of Education",70981,4534969007,2365656996,191.700192152455,33.9502122,-83.9995695
"12","MD","Montgomery County Public Schools",33968,3663139490,3195067624,114.64982657907,39.094784,-77.1582238
"13","NC","Wake County Board of Education",36675,2749372028,1970695735,139.512760857525,35.7549257,-78.7365209
"14","TX","Dallas Independent School District",38892,4757887523,2323118295,204.806080398071,32.8765543,-96.7682579
"15","NC","Charlotte-Mecklenburg Board of Education",36608,2559051000,1799355000,142.220462332336,35.23245,-80.807853
"16","MD","Prince George’s County Public Schools",189873,3459634368,2405571401,143.817571432792,38.8151141,-76.7588579
"17","PA","School District of Philadelphia",87525,8193140034,3861891368,212.153560348412,39.9619271,-75.1617091
"18","FL","Duval County Public Schools",148093,1094293954,1315060542,83.2124392034264,30.3164033,-81.6553862
"19","TX","Cypress-Fairbanks Independent School District",38984,4145823676,1382684090,299.83882117281,30.0014149,-95.5836166
"20","MD","Board of Education of Baltimore County-Public Schools",171323,2428010000,1955757000,124.146813740153,39.404014,-76.6301799
"21","TN","Board of Education of Shelby County",91458,958891499,1336828018,71.7288601143008,33.179856,-86.601937
"22","GA","Cobb County School District",70971,2217236000,1517922000,146.070483200059,34.160939,-84.183638
"23","TX","Northside Independent School District",38820,3032820362,1322943080,229.247985635179,34.305399,-99.298904
"24","FL","School District of Polk County",98989,1056455681,1149637602,91.8946700388111,27.8765897,-81.845324
"25","CA","San Diego Unified School District",146593,6421488110,1987911916,323.026793004042,32.752948,-117.147716
"26","KY","Jefferson County Board of Education",33679,1662666688,1572818250,105.712576008067,33.4879109,-86.7937682
"27","FL","District School Board of Pinellas County",69989,931076698,1129321171,82.445695866619,27.9142486,-82.7922046
"28","GA","Dekalb County Board of Education",105280,2301940046,1466773135,156.939065154067,34.4967828,-85.8513367
"29","FL","The School District of Lee County",32402,1278007845,1150757420,111.057971279473,26.5997091,-81.8535642
"30","GA","Fulton County Board of Education",70979,1976650177,1409931971,140.194719862835,33.6812512,-84.4145231
"31","VA","Prince William County Public Schools",197665,1241056033,1408855587,88.0896554942646,38.6365079,-77.4348195
"32","NM","Albuquerque Municipal School District No. 12",35931,2397848787,1131467933,211.923706988521,35.1029422,-106.5725587
"33","MD","Anne Arundel County Board of Education",41282,2182951319,1481594562,147.337967821186,38.9762758,-76.5593988
"34","CO","Jefferson County School District No R-1",32057,2353743121,1017567920,231.310664844859,39.740276,-105.163746
"35","VA","Loudoun County Public Schools",197654,1674258721,1497874074,111.775665929578,39.0337573,-77.5172218
"36","UT","Alpine School District",39330,1059030997,758243762,139.668936307055,40.3885111,-111.7965504
"37","TX","Katy Independent School District",38990,2787669152,1089968833,255.756776487571,29.7803574,-95.8325089
"38","TX","Fort Worth Independent School District",39194,2010513068,1118553390,179.742253340272,32.7596699,-97.3605326
"39","TX","Austin Independent School District",39211,2497995416,1757890245,142.101898745106,30.272098,-97.755389
"40","MD","Baltimore City Public School System",44313,426185000,1711671000,24.8987685133416,39.3119022,-76.6131619
"41","TX","Fort Bend Independent School District",38940,1939809685,971061938,199.761684511622,29.5896713,-95.6218552
"42","SC","The School District of Greenville County",38341,2523154282,954914212,264.228372590186,34.8440916,-82.3959597
"43","FL","Pasco County District School Board",148148,1220077040,823883566,148.088527353876,28.2375497,-82.4596929
"44","UT","Davis School District",39313,889548468,728477766,122.110585870647,40.980557,-111.8868124
"45","WI","Milwaukee Public Schools",40012,1413229033,1208173119,116.972394996648,43.0490674,-87.9793295
"46","FL","Brevard District School Board County",93779,970289235,802974791,120.836824004354,28.2486615,-80.7367153
"47","NC","Guilford County Board of Education",36571,1173118351,796869443,147.215878498681,36.0802807,-79.7934905
"48","CA","Long Beach Unified School District",146325,3148525800,1136009100,277.156741085965,33.8284958,-118.2101886
"49","CA","Fresno Unified School District",146154,3034261964,1166709424,260.0700655693,36.7362627,-119.7869575
"50","FL","Osceola County District School Board",198253,629910852,795253071,79.2088550136514,28.3272577,-81.3758132
"51","FL","District School Board of Seminole County",32425,601902285,682225811,88.2262551922123,28.757758,-81.282825
"52","NV","Washoe County School District",35535,2191603737,770757665,284.344072919469,39.536735,-119.810089
"53","TX","Aldine Independent School District",38981,1730907415,850679006,203.473625514628,30.006761,-95.382511
"54","UT","Granite School District",39321,604234008,696323176,86.7749385380216,40.716284,-111.888249
"55","TX","Conroe Independent School District",39105,1873250052,742306470,252.355344821392,30.320765,-95.485071
"56","TX","North East Independent School District",38819,2132074073,803857410,265.230381218978,29.5221047,-98.457999
"57","CA","Elk Grove Unified School District",146106,1218599815,841645710,144.787741507053,38.41353,-121.371667
"58","FL","Volusia County District School Board",70626,791182331,663782752,119.192963151896,29.0301775,-81.3084695
"59","TX","Frisco Independent School District",38875,2771800196,820388165,337.864478578869,33.124747,-96.7965079
"60","TX","Arlington Independent School District",39189,1643859113,759674721,216.389866288574,32.708992,-97.123379
"61","MD","Howard County Board of Education",41713,1031229897,1082067035,95.3018494829204,39.234427,-76.891275
"62","UT","Jordan School District",39322,505146280,534505057,94.5072966821341,40.627404,-111.984152
"63","WA","Seattle School District No.1",39643,123970331,1263718387,9.80996496334116,47.5812781,-122.3310438
"64","TX","Garland Independent School District",38895,1028867238,692323253,148.61081634073,32.90916,-96.68304
"65","TX","El Paso Independent School District",38929,1635139177,713146693,229.285109648542,31.7918517,-106.4000894
"66","TX","Klein Independent School District",38991,1688085132,622051034,271.374057711156,30.0482809,-95.5342283
"67","TX","Pasadena Independent School District",38993,1358873648,681880739,199.283184034914,29.676941,-95.190442
"68","CA","San Francisco Unified School District",146595,2652780917,1290210104,205.608443832184,37.7794456,-122.4219102
"69","TX","Plano Independent School District",38877,1471969476,929400425,158.378394974373,33.019132,-96.746983
"70","CA","Corona-Norco Unified School District",146048,1511591818,699973014,215.950013467233,33.9222888,-117.5609158
"71","GA","School District Atlanta Public Schools",70961,1457874182,1064997400,136.889928745366,33.752569,-84.389937
"72","TX","Lewisville Independent School District",38905,2016853986,752269010,268.102761005667,33.0443463,-97.033113
"73","TX","Round Rock Independent School District",39253,1540696369,633743617,243.110356881117,30.5116579,-97.6956236
"74","NC","Cumberland County Board of Education",36539,746287666,508669063,146.713791005607,35.0146626,-78.8965567
"75","GA","Forsyth County Board of Education",32567,1482624205,619104806,239.478710330024,34.2322562,-84.1244224
"76","SC","Charleston County School District",43341,2050410740,895123983,229.064440115666,32.7880805,-79.93091
