state,name,category,total_liabilities,bonds_outstanding,net_pension_liability,compensated_absences,revenues,population
MN,Minnesota,General Purpose,23927324000,8483013000,3107663000,527476000,49990315000,5657342
IA,Iowa,General Purpose,9758958000,3190775000,1078093000,549822000,26729140000,3163561
CA,California,General Purpose,408305319000,109854424000,92089623000,4401397000,386615995000,39368078
WA,Washington,General Purpose,84090857000,26732746000,3338862000,910960000,72609544000,7693612
IN,Indiana,General Purpose,19776175000,0,11792876000,194149000,42536473000,6754953
MT,Montana,General Purpose,5140282000,119928000,2254594000,111510000,8213225000,1080577
DC,District of Columbia,General Purpose,17091665000,6800186000,229413000,494687000,16397733000,712816
GA,Georgia,General Purpose,42898593000,11199640000,7896789000,682156000,65986964000,10710017
UT,Utah,General Purpose,8052895000,4431385000,730772000,210811000,17241722000,3249879
MI,Michigan,General Purpose,35977177000,2088400000,7540000000,428800000,88274088000,9966555
AL,Alabama,General Purpose,13679635000,4941832000,3664524000,330270000,30108701000,4921532
FL,Florida,General Purpose,72860317000,17305365000,8789980000,805146000,105839544000,21733312
DE,Delaware,General Purpose,15909284000,3503151400,1835017000,212001100,10496375000,986809
ID,Idaho,General Purpose,4075441000,899750000,301989000,81981000,11883210000,1826913
KS,Kansas,General Purpose,9981002000,4348467000,1904166000,119287000,17602156000,2913805
ME,Maine,General Purpose,8836880000,1035733000,2391652000,62720000,10625590000,1350141
NV,Nevada,General Purpose,10676834000,2994689000,2290134000,118600000,16771174000,3138259
NH,New Hampshire,General Purpose,6048361000,1228878000,941421000,106978000,8682854000,1366275
OH,Ohio,General Purpose,55081480000,18440406000,4641754000,561516000,79125001000,11693217
OK,Oklahoma,General Purpose,7276923000,2265388000,321161000,177538000,23510595000,3980783
OR,Oregon,General Purpose,24144226000,11779762000,3852015000,298326000,35294208000,4241507
SC,South Carolina,General Purpose,15642105000,1971160000,4024660000,211882000,31800560000,5218040
SD,South Dakota,General Purpose,2421365000,498066000,0,99061000,5001397000,892717
TN,Tennessee,General Purpose,9697381000,1949715000,988950000,325088000,39355553000,6886834
VT,Vermont,General Purpose,7263223731,675146062,2387778363,42012068,7162262953,623347
VA,Virginia,General Purpose,26563639000,7243127000,4559932000,338027000,58156929000,8590563
WY,Wyoming,General Purpose,10270669870,13865082,463995694,68787262,4701674995,582328
WI,Wisconsin,General Purpose,28548691000,13146569000,0,2593896000,44293015000,5832655
AZ,Arizona,General Purpose,24362565000,6207355000,5470494000,463129000,48198360000,7421401
NJ,New Jersey,General Purpose,213903087870,25401600000,90812068247,491700000,73616040355,8882371
ND,North Dakota,General Purpose,7875818413,1555235000,887491111,81775000,10137156850,765309
AK,Alaska,General Purpose,14129014000,668042000,4675738000,185848000,9104519000,731158
NE,Nebraska,General Purpose,3728215000,0,375193000,135694000,11108805000,1937552
IL,Illinois,General Purpose,263404811000,31531895000,143346569000,401594000,91181741000,12587530
CO,Colorado,General Purpose,28766869000,4637188000,11375438000,639545000,41175254000,5807719
KY,Kentucky,General Purpose,41600354000,5973758000,25870784000,266573000,33658968000,4477251
AR,Arkansas,General Purpose,13143393000,3479695000,2300436000,290683000,25838329000,3030522
LA,Louisiana,General Purpose,31993734000,8419548000,6614130000,233104000,36341565000,4645318
PA,Pennsylvania,General Purpose,79810308000,15914699000,15342810000,868402000,109336712000,12783254
NY,New York,General Purpose,188872000000,2266000000,4237000000,1358000000,189989000000,19336776
CT,Connecticut,General Purpose,97821884000,29166415000,39840819000,728321000,35717659000,3557006
MA,Massachusetts,General Purpose,113588290000,41939680000,41643152000,906461000,76583475000,6893574
MD,Maryland,General Purpose,65583150000,20700855000,18912696000,353144000,50630119000,6055802
HI,Hawaii,General Purpose,28421578000,10028955000,7226416000,262056000,14507982000,1407006
NM,New Mexico,General Purpose,14617951000,4145804000,5617739000,182688000,23558395000,2106319
NC,North Carolina,General Purpose,29040557000,7932866000,2660223000,619350000,59639395000,10600823
RI,Rhode Island,General Purpose,9830412000,3138775000,3673476000,91960000,10232146000,1057125
TX,Texas,General Purpose,250250365000,59721954000,67084585000,2035843000,199988664000,29360759
WV,West Virginia,General Purpose,13162213000,3476438000,2997962000,93744000,14506334000,1784787
MS,Mississippi,General Purpose,13060607000,4686238000,3151705000,126506000,20501316000,2966786
MO,Missouri,General Purpose,19395710,2639256,7102432,195681,32418542,6151548
